Loss 10.0114, Prob 0.00045723713 
Loss 501.2615, Prob 0.00069336186 
Loss nan, Prob 4.7349264e-08 
Loss 72.0824, Prob 4.997497e-08 
Loss 60.0592, Prob 0.013696559 
Loss 16.8719, Prob 0.00019387086 
Loss 42.8059, Prob 0.0023270552 
Loss 83.9669, Prob 0.00087378814 
Loss nan, Prob 3.3240684e-09 
Loss 55.7778, Prob 0.0011578689 
Loss 15.4311, Prob 0.012469849 
Loss nan, Prob 1.5222084e-07 
Loss 14.7739, Prob 0.0005265734 
Loss 19.9736, Prob 0.000100123085 
Loss nan, Prob 6.188326e-06 
Loss 29.4095, Prob 0.030034272 
Loss nan, Prob 0.00015830284 
Loss nan, Prob 1.594952e-07 
Loss nan, Prob 8.57395e-06 
Loss 15.6506, Prob 0.0060082986 
Loss 17.6122, Prob 0.00043890302 
Loss 15.7608, Prob 0.006082042 
Loss nan, Prob 3.243506e-05 
Loss 15.1395, Prob 0.0007918582 
Loss 8.7680, Prob 0.001033084 
Loss 5.9508, Prob 0.0010304668 
Loss 15.1388, Prob 0.0014567674 
Loss 13.3307, Prob 0.0018664228 
Loss 14.2883, Prob 0.0009424207 
Loss nan, Prob 0.0011545521 
Loss 16.9031, Prob 0.0012447633 
Loss 15.4205, Prob 0.0018898163 
Loss 12.3477, Prob 0.0005638131 
Loss nan, Prob 0.0007149401 
Loss nan, Prob 0.0009965494 
Loss 17.0259, Prob 0.0016816746 
Loss 14.3798, Prob 0.0012208468 
Loss 13.0658, Prob 0.0025015152 
Loss 7.9350, Prob 0.0031327833 
Loss 15.8824, Prob 0.0011073903 
Loss nan, Prob 0.00069135975 
Loss 17.7108, Prob 0.001171951 
Loss 10.7641, Prob 0.0008972717 
Loss nan, Prob 0.0010484552 
Loss 13.3406, Prob 0.0026192823 
Loss 9.5725, Prob 0.0020066835 
Loss nan, Prob 0.0009979354 
Loss nan, Prob 0.00094357814 
Loss nan, Prob 0.0001703985 
Loss nan, Prob 0.00014043371 
Loss 14.4335, Prob 0.0018462893 
Loss nan, Prob 0.00097124156 
Loss nan, Prob 0.0008918479 
Loss 9.4025, Prob 0.0053893523 
Loss 13.0662, Prob 0.001025407 
Loss 4.7161, Prob 0.0041193445 
Loss 15.5274, Prob 0.0011943182 
Loss nan, Prob 3.6178168e-05 
Loss 13.2321, Prob 0.0009796805 
Loss 12.3822, Prob 0.00078131387 
Loss 12.0888, Prob 0.003871373 
Loss nan, Prob 0.0008462984 
Loss 13.1378, Prob 0.00087570556 
Loss nan, Prob 1.0173922e-05 
Loss nan, Prob 1.0904014e-05 
Loss 17.2505, Prob 0.0016430466 
Loss 10.9252, Prob 0.00096124905 
Loss nan, Prob 0.00022551605 
Loss 6.8430, Prob 0.0010121587 
Loss 9.5780, Prob 0.0038885232 
Loss nan, Prob 0.0007247971 
Loss 9.8871, Prob 0.003321282 
Loss 11.1704, Prob 0.0023636292 
Loss 12.6565, Prob 0.0015411772 
Loss nan, Prob 1.5280184e-05 
Loss nan, Prob 1.8598473e-06 
Loss nan, Prob 0.0007117797 
Loss nan, Prob 3.5638147e-06 
Loss 12.7933, Prob 0.0058246786 
Loss 10.1175, Prob 0.003570205 
Loss 8.3239, Prob 0.0007914302 
Loss nan, Prob 0.00071745104 
Loss 11.4862, Prob 0.006009663 
Loss nan, Prob 1.4794923e-06 
Loss 13.7721, Prob 0.0036102913 
Loss 13.6325, Prob 0.005021965 
Loss 15.2766, Prob 0.0043622376 
Loss nan, Prob 1.779043e-05 
Loss 12.6038, Prob 0.001495664 
Loss 11.9489, Prob 0.0012009209 
Loss nan, Prob 3.6596706e-05 
Loss 15.2680, Prob 0.0054637017 
Loss nan, Prob 2.1812362e-05 
Loss 10.8694, Prob 0.00797741 
Loss 10.8166, Prob 0.0017208104 
Loss 10.3310, Prob 0.0007825968 
Loss 12.0776, Prob 0.0047922875 
Loss 11.3775, Prob 0.0015523008 
Loss 14.9769, Prob 0.0007847078 
Loss 10.2360, Prob 0.004569997 
Loss 17.8712, Prob 0.00071339647 
Loss 15.6424, Prob 0.00080489926 
Loss 5.0732, Prob 0.00092144223 
Loss nan, Prob 2.335325e-06 
Loss 10.7422, Prob 0.001591268 
Loss 12.4707, Prob 0.0005760188 
Loss 16.5491, Prob 0.0009281241 
Loss 14.7823, Prob 0.0031640218 
Loss nan, Prob 5.2137602e-06 
Loss 16.2975, Prob 0.0018817566 
Loss nan, Prob 0.0009514841 
Loss 14.0261, Prob 0.0043638987 
Loss 10.8259, Prob 0.001876824 
Loss 11.8355, Prob 0.0024043245 
Loss 14.1956, Prob 0.0007565657 
Loss nan, Prob 7.611836e-05 
Loss nan, Prob 0.00092512905 
Loss 10.0023, Prob 0.00082928746 
Loss 7.6887, Prob 0.001803719 
Loss 10.2235, Prob 0.0015886785 
Loss nan, Prob 0.0007208135 
Loss 16.8310, Prob 0.0013741857 
Loss nan, Prob 4.065369e-05 
Loss 12.6312, Prob 0.0016574713 
Loss 10.5404, Prob 0.0017638197 
Loss nan, Prob 8.044855e-05 
Loss 13.3859, Prob 0.0007494403 
Loss 14.3856, Prob 0.0007417322 
Loss 16.7019, Prob 0.0012885953 
Loss 15.9768, Prob 0.0006426949 
Loss 13.6647, Prob 0.0008204432 
Loss 11.6197, Prob 0.003149235 
Loss 14.5762, Prob 0.005919825 
Loss nan, Prob 0.0010213477 
Loss 11.4338, Prob 0.0015147104 
Loss 13.5613, Prob 0.0015807821 
Loss 12.2489, Prob 0.0037305919 
Loss 14.2884, Prob 0.003607458 
Loss 17.2212, Prob 0.0044245957 
Loss 12.8800, Prob 0.005780536 
Loss 16.5170, Prob 0.0006937573 
Loss nan, Prob 0.00075972755 
Loss 13.7990, Prob 0.010478174 
Loss 15.0310, Prob 0.0017292006 
Loss 14.9568, Prob 0.0009932677 
Loss nan, Prob 0.00012959214 
Loss nan, Prob 1.1666568e-05 
Loss nan, Prob 7.3597985e-06 
Loss 14.7160, Prob 0.0006026101 
Loss 16.6635, Prob 0.0074770264 
Loss 12.6236, Prob 0.004604592 
Loss nan, Prob 1.8453912e-06 
Loss 13.7673, Prob 0.0007689304 
Loss 16.4645, Prob 0.0009183986 
Loss 14.0251, Prob 0.0018224507 
Loss 9.3383, Prob 0.0006351571 
Loss 13.4644, Prob 0.0018741471 
Loss 11.7617, Prob 0.0055368883 
Loss 13.3152, Prob 0.0010655496 
Loss 10.2616, Prob 0.004334083 
Loss 15.5904, Prob 0.00536204 
Loss 17.3508, Prob 0.00091821654 
Loss 12.9880, Prob 0.0012072804 
Loss nan, Prob 0.00068623293 
Loss nan, Prob 1.2921804e-05 
Loss 18.8008, Prob 0.0013524226 
Loss 14.0529, Prob 0.0015734808 
Loss nan, Prob 0.0008588914 
Loss 7.0581, Prob 0.0005601418 
Loss nan, Prob 3.957444e-06 
Loss 18.5766, Prob 0.0006121442 
Loss 15.3762, Prob 0.009371385 
Loss nan, Prob 0.0006858799 
Loss 4.9854, Prob 0.005693934 
Loss 10.6084, Prob 0.000942774 
Loss 9.9579, Prob 0.0017484815 
Loss 8.2783, Prob 0.0018781805 
Loss nan, Prob 9.235596e-06 
Loss 9.9236, Prob 0.007595396 
Loss 11.6637, Prob 0.0070989267 
Loss 16.2254, Prob 0.0063008005 
Loss 11.2097, Prob 0.0015520767 
Loss nan, Prob 1.5867599e-06 
Loss 10.2407, Prob 0.002018269 
Loss nan, Prob 0.00077072426 
Loss 11.0405, Prob 0.00063218357 
Loss 12.5558, Prob 0.0050085145 
Loss 15.8194, Prob 0.0008169766 
Loss nan, Prob 1.3011904e-05 
Loss nan, Prob 3.2032574e-05 
Loss 13.0451, Prob 0.00088418345 
Loss 14.7267, Prob 0.003849554 
Loss nan, Prob 9.500902e-06 
Loss 14.4997, Prob 0.0017000304 
Loss nan, Prob 0.0006375083 
Loss nan, Prob 3.3417484e-05 
Loss nan, Prob 0.0007991898 
Loss 10.9878, Prob 0.0037592764 
Loss nan, Prob 6.6462626e-06 
Loss nan, Prob 1.616941e-05 
Loss 13.2550, Prob 0.006281445 
Loss 9.3316, Prob 0.0017160475 
Loss 10.5566, Prob 0.0009131225 
Loss 10.0475, Prob 0.0008411906 
Loss 10.5661, Prob 0.001988381 
Loss 14.6975, Prob 0.0007082641 
Loss nan, Prob 6.0780978e-05 
Loss nan, Prob 0.0007736715 
Loss 12.8661, Prob 0.0010936969 
Loss 9.1074, Prob 0.002582935 
